statea,stateb,warstrtmnth,warstrtday,warstrtyr,warendmnth,warenday,warendyr,year,warolea,waroleb,wardyadrolea,wardyadroleb,outcomea,batdtha,batdthb,durindx,diff_in_days,diff_in_deaths,total_battle_dths
220,230,4,7,1823,9,30,1823,1823,1,3,1,3,1.0,400.0,600.0,1,176,-200.0,1000.0
230,220,4,7,1823,9,30,1823,1823,3,1,3,1,3.0,600.0,400.0,1,176,200.0,1000.0
365,640,4,30,1828,8,19,1829,1828,1,3,1,3,1.0,80000.0,50000.0,1,476,30000.0,130000.0
365,640,4,30,1828,8,19,1829,1829,1,3,1,3,1.0,80000.0,50000.0,2,476,30000.0,130000.0
640,365,4,30,1828,8,19,1829,1828,3,1,3,1,3.0,50000.0,80000.0,2,476,-30000.0,130000.0
640,365,4,30,1828,8,19,1829,1829,3,1,3,1,3.0,50000.0,80000.0,1,476,-30000.0,130000.0
2,70,4,25,1846,9,14,1847,1846,1,3,1,3,1.0,13283.0,6000.0,1,507,7283.0,19283.0
2,70,4,25,1846,9,14,1847,1847,1,3,1,3,1.0,13283.0,6000.0,2,507,7283.0,19283.0
70,2,4,25,1846,9,14,1847,1846,3,1,3,1,3.0,6000.0,13283.0,1,507,-7283.0,19283.0
70,2,4,25,1846,9,14,1847,1847,3,1,3,1,3.0,6000.0,13283.0,2,507,-7283.0,19283.0
300,325,4,4,1848,3,23,1849,1848,1,3,3,1,1.0,3927.0,3400.0,2,353,527.0,7327.0
300,325,4,4,1848,3,23,1849,1849,3,1,3,1,1.0,3927.0,3400.0,1,353,527.0,7327.0
325,300,4,4,1848,3,23,1849,1848,1,3,1,3,3.0,3400.0,3927.0,2,353,-527.0,7327.0
325,300,4,4,1848,3,23,1849,1849,1,3,1,3,3.0,3400.0,3927.0,1,353,-527.0,7327.0
300,332,4,9,1848,7,24,1848,1848,3,2,3,1,1.0,3927.0,100.0,1,106,3827.0,4027.0
332,300,4,9,1848,7,24,1848,1848,2,3,1,3,3.0,100.0,3927.0,1,106,-3827.0,4027.0
300,337,4,9,1848,7,24,1848,1848,3,2,3,1,1.0,3927.0,100.0,1,106,3827.0,4027.0
337,300,4,9,1848,7,24,1848,1848,2,3,1,3,3.0,100.0,3927.0,1,106,-3827.0,4027.0
255,390,4,10,1848,7,10,1849,1848,1,3,1,3,2.0,2500.0,3500.0,2,456,-1000.0,6000.0
255,390,4,10,1848,7,10,1849,1849,1,3,1,3,2.0,2500.0,3500.0,1,456,-1000.0,6000.0
390,255,4,10,1848,7,10,1849,1848,3,1,3,1,2.0,3500.0,2500.0,1,456,1000.0,6000.0
390,255,4,10,1848,7,10,1849,1849,3,1,3,1,2.0,3500.0,2500.0,2,456,1000.0,6000.0
220,327,4,30,1849,7,2,1849,1849,1,3,1,3,1.0,1000.0,1400.0,1,63,-400.0,2400.0
327,220,4,30,1849,7,2,1849,1849,3,1,3,1,3.0,1400.0,1000.0,1,63,400.0,2400.0
300,327,5,8,1849,7,2,1849,1849,2,3,1,3,1.0,100.0,1400.0,1,55,-1300.0,1500.0
327,300,5,8,1849,7,2,1849,1849,3,2,3,1,3.0,1400.0,100.0,1,55,1300.0,1500.0
327,329,5,8,1849,7,2,1849,1849,3,2,3,1,3.0,1400.0,100.0,1,55,1300.0,1500.0
329,327,5,8,1849,7,2,1849,1849,2,3,1,3,1.0,100.0,1400.0,1,55,-1300.0,1500.0
140,160,7,19,1851,2,3,1852,1851,1,3,1,3,1.0,500.0,800.0,2,199,-300.0,1300.0
140,160,7,19,1851,2,3,1852,1852,1,3,1,3,1.0,500.0,800.0,1,199,-300.0,1300.0
160,140,7,19,1851,2,3,1852,1851,3,1,3,1,3.0,800.0,500.0,2,199,300.0,1300.0
160,140,7,19,1851,2,3,1852,1852,3,1,3,1,3.0,800.0,500.0,1,199,300.0,1300.0
200,365,4,21,1854,2,1,1856,1854,2,3,1,3,1.0,22000.0,100000.0,1,651,-78000.0,122000.0
200,365,4,21,1854,2,1,1856,1855,2,3,1,3,1.0,22000.0,100000.0,3,651,-78000.0,122000.0
200,365,4,21,1854,2,1,1856,1856,2,3,1,3,1.0,22000.0,100000.0,2,651,-78000.0,122000.0
365,200,4,21,1854,2,1,1856,1854,3,2,3,1,3.0,100000.0,22000.0,1,651,78000.0,122000.0
365,200,4,21,1854,2,1,1856,1855,3,2,3,1,3.0,100000.0,22000.0,2,651,78000.0,122000.0
365,200,4,21,1854,2,1,1856,1856,3,2,3,1,3.0,100000.0,22000.0,3,651,78000.0,122000.0
220,365,4,21,1854,3,1,1856,1854,2,3,1,3,1.0,95000.0,100000.0,1,680,-5000.0,195000.0
220,365,4,21,1854,3,1,1856,1855,2,3,1,3,1.0,95000.0,100000.0,3,680,-5000.0,195000.0
220,365,4,21,1854,3,1,1856,1856,2,3,1,3,1.0,95000.0,100000.0,2,680,-5000.0,195000.0
365,220,4,21,1854,3,1,1856,1854,3,2,3,1,3.0,100000.0,95000.0,1,680,5000.0,195000.0
365,220,4,21,1854,3,1,1856,1855,3,2,3,1,3.0,100000.0,95000.0,3,680,5000.0,195000.0
365,220,4,21,1854,3,1,1856,1856,3,2,3,1,3.0,100000.0,95000.0,2,680,5000.0,195000.0
