stateabb,statea,year,defensebudget,milsize,IronSteelProduct,EnergyUse,totalpop,urbanpop,CINC_Score_A,version_x,stateb,warstrtmnth,warstrtday,warstrtyr,warendmnth,warenday,warendyr,warolea,waroleb,wardyadrolea,wardyadroleb,outcomea,batdtha,batdthb,durindx,diff_in_days,diff_in_deaths,total_battle_dths,CINC_Score_B,version_y,diff_CINC
USA,2,1846,9506.0,39.0,777.0,4863.0,20794.0,846.0,0.08275729999999999,2011,70,4,25,1846,9,14,1847,1,3,1,3,1.0,13283.0,6000.0,1,507,7283.0,19283.0,0.0179395,2011,0.0648178
USA,2,1847,7431.0,58.0,813.0,5767.0,21406.0,918.0,0.0845096,2011,70,4,25,1846,9,14,1847,1,3,1,3,1.0,13283.0,6000.0,2,507,7283.0,19283.0,0.0086196,2011,0.07589
USA,2,1898,60011.0,236.0,11963.0,207271.0,73494.0,13162.0,0.19706189999999998,2011,230,5,1,1898,6,17,1898,1,3,1,3,1.0,2910.0,775.0,1,47,2135.0,3685.0,0.017012400000000004,2011,0.18004949999999997
USA,2,1900,41481.0,126.0,10352.0,256081.0,76094.0,14207.0,0.1879988,2011,710,6,17,1900,8,15,1900,1,3,1,3,1.0,21.0,2000.0,1,59,-1979.0,2021.0,0.11997739999999998,2011,0.06802140000000001
USA,2,1917,658584.0,644.0,45784.0,710959.0,103268.0,25310.0,0.24402820000000003,2011,255,6,27,1917,11,11,1918,4,1,1,3,1.0,116516.0,1773700.0,1,502,-1657184.0,1890216.0,0.1581688,2011,0.08585940000000003
USA,2,1918,7014226.0,2897.0,45176.0,743925.0,103208.0,26020.0,0.2948715,2011,255,6,27,1917,11,11,1918,4,1,1,3,1.0,116516.0,1773700.0,2,502,-1657184.0,1890216.0,0.17243370000000002,2011,0.12243779999999999
USA,2,1941,6301000.0,1801.0,75150.0,1031214.0,133402.0,38183.0,0.2444945,2011,740,12,7,1941,8,15,1945,4,2,3,1,1.0,405400.0,1740000.0,2,1347,-1334600.0,2145400.0,0.0666311,2011,0.1778634
USA,2,1942,26001000.0,3859.0,78047.0,1103469.0,134860.0,38377.0,0.2854552,2011,740,12,7,1941,8,15,1945,4,2,3,1,1.0,405400.0,1740000.0,4,1347,-1334600.0,2145400.0,0.0614425,2011,0.2240127
USA,2,1942,26001000.0,3859.0,78047.0,1103469.0,134860.0,38377.0,0.2854552,2011,220,11,8,1942,11,11,1942,4,2,1,3,1.0,405400.0,210824.0,1,3,194576.0,616224.0,0.015556100000000002,2011,0.2698991
USA,2,1943,72109000.0,9045.0,80592.0,1169553.0,136739.0,38554.0,0.3456322,2011,740,12,7,1941,8,15,1945,4,2,3,1,1.0,405400.0,1740000.0,3,1347,-1334600.0,2145400.0,0.060228,2011,0.2854042
USA,2,1943,72109000.0,9045.0,80592.0,1169553.0,136739.0,38554.0,0.3456322,2011,255,2,19,1943,5,7,1945,4,1,3,1,1.0,405400.0,3500000.0,1,808,-3094600.0,3905400.0,0.1535983,2011,0.1920339
USA,2,1943,72109000.0,9045.0,80592.0,1169553.0,136739.0,38554.0,0.3456322,2011,325,7,10,1943,9,3,1943,4,2,1,3,1.0,405400.0,174500.0,1,55,230900.0,579900.0,0.0219315,2011,0.3237007
USA,2,1944,87000000.0,11452.0,81322.0,1247643.0,138397.0,38898.0,0.3506417,2011,740,12,7,1941,8,15,1945,4,2,3,1,1.0,405400.0,1740000.0,1,1347,-1334600.0,2145400.0,0.0670793,2011,0.2835624
USA,2,1944,87000000.0,11452.0,81322.0,1247643.0,138397.0,38898.0,0.3506417,2011,255,2,19,1943,5,7,1945,4,1,3,1,1.0,405400.0,3500000.0,2,808,-3094600.0,3905400.0,0.1362128,2011,0.2144289
USA,2,1945,90000000.0,12123.0,72304.0,1219068.0,139928.0,39100.0,0.3838635,2011,740,12,7,1941,8,15,1945,4,2,3,1,1.0,405400.0,1740000.0,5,1347,-1334600.0,2145400.0,0.052876099999999995,2011,0.33098740000000004
USA,2,1945,90000000.0,12123.0,72304.0,1219068.0,139928.0,39100.0,0.3838635,2011,255,2,19,1943,5,7,1945,4,1,3,1,1.0,405400.0,3500000.0,3,808,-3094600.0,3905400.0,0.0798766,2011,0.3039869
USA,2,1950,14559000.0,1460.0,87848.0,1241836.0,152271.0,43964.0,0.284443,2011,710,10,29,1950,7,27,1953,4,2,1,3,2.0,54487.0,422612.0,2,1002,-368125.0,477099.0,0.1184953,2011,0.1659477
USA,2,1950,14559000.0,1460.0,87848.0,1241836.0,152271.0,43964.0,0.284443,2011,731,7,5,1950,7,27,1953,4,1,1,3,2.0,54487.0,316579.0,3,1118,-262092.0,371066.0,0.0026701999999999997,2011,0.2817728
USA,2,1951,33398000.0,3249.0,95435.0,1325948.0,154878.0,44711.0,0.3194995,2011,710,10,29,1950,7,27,1953,4,2,1,3,2.0,54487.0,422612.0,1,1002,-368125.0,477099.0,0.10362439999999999,2011,0.2158751
USA,2,1951,33398000.0,3249.0,95435.0,1325948.0,154878.0,44711.0,0.3194995,2011,731,7,5,1950,7,27,1953,4,1,1,3,2.0,54487.0,316579.0,4,1118,-262092.0,371066.0,0.0022304,2011,0.31726909999999997
USA,2,1952,47852000.0,3636.0,84520.0,1309824.0,157553.0,45123.0,0.3113674,2011,710,10,29,1950,7,27,1953,4,2,1,3,2.0,54487.0,422612.0,3,1002,-368125.0,477099.0,0.096398,2011,0.21496940000000003
USA,2,1952,47852000.0,3636.0,84520.0,1309824.0,157553.0,45123.0,0.3113674,2011,731,7,5,1950,7,27,1953,4,1,1,3,2.0,54487.0,316579.0,1,1118,-262092.0,371066.0,0.0031201000000000002,2011,0.3082473
